,Set,rr_ddg,NoPd_P_R2_bond_eng_Max,P2_Pd_bond_occ,P2_NMR
pp000006-PdCl2,Training,1.78,-0.474,1.85582,126.1585
pp000008e-PdCl2,Training,1.89,-0.47178,1.85501,119.5299
pp000009-PdCl2,Training,1.81,-0.4714,1.85539,122.5218
pp000015-PdCl2,Training,0.78,-0.5061,1.86102,105.2543
pp000027-PdCl2,Training,0.79,-0.48551,1.85671,126.8798
pp000033-PdCl2,Training,0.7,-0.47827,1.85457,122.9273
pp000036-PdCl2,Training,1.82,-0.47584,1.85558,118.2782
pp000039e-PdCl2,Training,0.76,-0.474,1.85581,126.1654
pp000052-PdCl2,Training,0.1,-0.46838,1.84777,142.9925
pp000061-PdCl2,Test,1.51,-0.46571,1.85403,131.1
pp000062-PdCl2,Test,2.21,-0.46858,1.85457,119.0114
pp000068-PdCl2,Training,-0.28,-0.46961,1.86648,163.7079
pp000076e-PdCl2,Training,1.66,-0.4701,1.8561,121.533
pp000098-PdCl2,Training,1.3,-0.463,1.85403,122.6526
pp000103-PdCl2,Training,0.1,-0.46634,1.85519,124.1631
pp000105-PdCl2,Test,0.8,-0.48407,1.84755,86.5107
pp000118-PdCl2,Test,1.14,-0.4824,1.8524,102.1817
pp000130-PdCl2,Test,2.08,-0.4705,1.8545,122.4291
pp000132-PdCl2,Training,2.78,-0.47039,1.85416,124.931
pp000149-PdCl2,Training,0.27,-0.45937,1.84965,124.4175
pp000248-PdCl2,Test,2.75,-0.46875,1.85433,111.4738
pp000429-PdCl2,Test,-0.25,-0.47535,1.84811,125.751
pp000436-PdCl2,Test,0.76,-0.47437,1.84621,112.8955
pp000437-PdCl2,Test,1.85,-0.45688,1.85416,124.8204
pp000443-PdCl2,Test,2.12,-0.47088,1.85573,121.7692
pp000444-PdCl2,Test,2.36,-0.44914,1.84566,96.5921
pp000446-PdCl2,Test,2.67,-0.45072,1.85097,129.5743
pp000447-PdCl2,Test,2.06,-0.44789,1.8526,132.6142
pp000449-PdCl2,Test,2.68,-0.44915,1.85042,128.138
pp000458-PdCl2,Test,1.31,-0.47382,1.85436,132.0584
pp000462-PdCl2,Test,2.38,-0.46367,1.84591,67.3941
pp000473-PdCl2,Test,1.7,-0.47725,1.85657,125.2911
pp000477-PdCl2,Test,1.91,-0.47481,1.85488,118.512
pp000478-PdCl2,Test,0.88,-0.51523,1.85801,90.6469
pp000479e-PdCl2,Training,1.23,-0.47818,1.85422,122.4469
pp000485-PdCl2,Test,1.57,-0.47516,1.85438,128.8683
pp000515-PdCl2,Test,2.16,-0.44353,1.85311,131.1646
pp000532-PdCl2,Test,0.57,-0.48276,1.8459,116.4237
pp000533-PdCl2,Test,1.44,-0.47529,1.85052,115.2347
pp000534-PdCl2,Test,1.27,-0.45576,1.84934,132.003
pp000544-PdCl2,Test,1.11,-0.47013,1.85584,128.2124
pp000565-PdCl2,Test,1.25,-0.49755,1.86076,83.0825
pp000567-PdCl2,Test,1.13,-0.47398,1.85308,120.5291
pp000569-PdCl2,Test,1.28,-0.51343,1.85798,89.6507
pp000570e-PdCl2,Training,-0.18,-0.46665,1.848,135.2927
pp000571e-PdCl2,Training,-0.02,-0.46223,1.84669,134.522
pp000572e-PdCl2,Training,0.19,-0.46391,1.84687,140.6999
pp000573-PdCl2,Training,0.98,-0.46484,1.8489,116.8686
pp000574-PdCl2,Training,1.93,-0.47065,1.85567,121.1554
pp000575e-PdCl2,Training,1.93,-0.47127,1.85529,120.2505
pp000576e-PdCl2,Training,0.24,-0.46483,1.84943,137.6717
pp000597-PdCl2,Test,2.31,-0.44016,1.85099,88.9146
pp000003-PdCl2,,,-0.47831,1.85705,146.0308
pp000005-PdCl2,,,-0.47374,1.8499,109.651
pp000008-PdCl2,,,-0.47189,1.85501,119.5157
pp000013-PdCl2,,,-0.44816,1.86697,135.7874
pp000020-PdCl2,,,-0.4412,1.85858,126.6001
pp000024-PdCl2,,,-0.47053,1.85316,115.2707
pp000039-PdCl2,,,-0.474,1.85582,126.1561
pp000043-PdCl2,,,-0.47428,1.85543,126.1781
pp000047-PdCl2,,,-0.46835,1.86197,122.4906
pp000049-PdCl2,,,-0.47944,1.86393,146.9417
pp000060-PdCl2,,,-0.43794,1.84135,168.1806
