Ligand ID,4methylmorpholine_ddg,Cl_NBO_Max_boltz,P_Pd_bond_occ_Avg_boltz,angle_R2P2Cback_boltz,NoPd_P_R1_bond_occ_Min_cmin,Set
pp000061e-PdCl2,-0.8071693372443121,-0.5649183518474424,1.858089322894789,107.7203810521278,1.94706,Training
pp000027-PdCl2,0.3350055432244409,-0.5487871204356204,1.862001370874878,102.0657029380169,1.94741,Training
pp000016e-PdCl2,-1.1600916664188068,-0.5364628614151192,1.867831797035423,108.7070540122149,1.94858,Training
pp000101-PdCl2,0.5213370032440625,-0.5631749270653075,1.856546171878594,103.6546229159578,1.94856,Training
pp000006-PdCl2,0.882892719145574,-0.5582642794626786,1.861230968767157,102.2960364282992,1.94703,Training
pp000134-PdCl2,-0.9232308400619318,-0.5593982104951495,1.859511061742648,107.658060958194,1.94964,Training
pp000012e-PdCl2,-0.41234046670250885,-0.5442302524895551,1.862498196242688,104.635932632546,1.94868,Training
pp000029e-PdCl2,0.49333884029130515,-0.564432506117953,1.85702624590764,106.3403443127747,1.95328,Training
pp000043-PdCl2,0.023293090076692544,-0.5289799954113038,1.861063887317438,103.6221505084853,1.94795,Training
pp000071-PdCl2,-0.0466048345258336,-0.5542170688085768,1.864232528927898,104.4040533306333,1.95004,Training
pp000105-PdCl2,0.38620279276943925,-0.5652804072569202,1.85198034025732,106.6882902395638,1.95447,Training
pp000003-PdCl2,-0.06995397751231669,-0.5359059944700768,1.865627000214774,100.31246868272,1.94902,Training
pp000115e-PdCl2,0.23608189700993543,-0.5370256175193422,1.869450586518771,104.6536903374798,1.94838,Training
pp000025-PdCl2,0.7714372927642945,-0.562493209052175,1.869053633552415,106.7113979576532,1.94926,Training
pp000130e-PdCl2,-0.18793467853580445,-0.560163800062887,1.859913625257142,107.6718678314087,1.94976,Training
pp000078-PdCl2,0.09335944386921317,-0.5345623085805564,1.872932009246527,97.14987871900425,1.95886,Training
pp000050e-PdCl2,-0.26044736003103663,-0.5338901540841674,1.862062132519178,104.8315671618757,1.94552,Training
pp000056-PdCl2,0.18793467853580464,-0.5170460221841827,1.866392994456864,104.6738069814838,1.94554,Training
pp000008-PdCl2,0.6396665656320916,-0.5578437439300031,1.859736249671979,102.1893153268358,1.94985,Training
pp000068-PdCl2,-0.2850392583725263,-0.5295584058538262,1.870612964458536,98.37953000408446,1.95019,Training
pp000103-PdCl2,0.06995397751231665,-0.5334250006064595,1.860588750126436,115.9978946405761,1.94985,Training
pp000024-PdCl2,0.1404165111168104,-0.5455966390765157,1.860305,104.7704526539431,1.94517,Training
pp000129e-PdCl2,-0.8442678446842975,-0.5592402860993644,1.858195548015769,107.4400612823976,1.94803,Training
pp000495-PdCl2,0.4388833304249264,-0.5601433920585054,1.858070884586958,106.4186263038493,1.94782,Training
pp000019-PdCl2,0.06995397751231665,-0.5444543712195778,1.862058466290826,104.0354661803343,1.94911,Training
pp000111e-PdCl2,0.1404165111168104,-0.5234200027522208,1.865214163715686,106.2476879291779,1.93215,Training
pp000083-PdCl2,0.5499123939629421,-0.5668281872222324,1.84706408918659,99.84711324138819,1.92611,Training
pp000076e-PdCl2,-0.7035387163250777,-0.5604177668585003,1.861325829516639,107.4868290005772,1.94971,Training
pp000082-PdCl2,-0.6090147728676978,-0.5508725231547716,1.866982494454176,105.0528855906245,1.93407,Training
pp000001-PdCl2,0.0,-0.5285141749899798,1.871814146618513,99.68693878579181,1.9509,Training
pp000045-PdCl2,-0.7369337396055862,-0.561231338700523,1.859060280666036,106.9480270987758,1.94717,Training
pp000114-PdCl2,0.2604473600310366,-0.5516979418586795,1.869468606772535,101.7238499177544,1.9393,Training
pp000022e-PdCl2,-0.02329309007669252,-0.5278720840840738,1.869118017460393,105.6749846843741,1.94907,Training
pp000085-PdCl2,1.1600916664188068,-0.5599193312881325,1.871438225130239,104.3595919408885,1.94483,Test
pp000063-PdCl2,-0.3862027927694395,-0.5346640008863319,1.863855993905661,104.3019006313891,1.949,Test
pp000077-PdCl2,0.49333884029130515,-0.5367365080864693,1.858694556351193,102.3439847054356,1.94964,Test
pp000017e-PdCl2,-0.46586914244255767,-0.5348060723670617,1.866223742879254,105.7129729095183,1.94953,Test
pp000096-PdCl2,0.0,-0.5308443199752165,1.863893642104842,104.3614671369168,1.94785,Test
pp000069-PdCl2,-0.4933388402913051,-0.5317188469040333,1.868825732956249,99.14337008858894,1.9498,Test
pp000004-PdCl2,-1.1600916664188068,-0.5145933605540013,1.863941655418908,109.0983194947917,1.94815,Test
pp000052-PdCl2,0.6396665656320916,-0.5699669228807908,1.856598878435511,103.9413620218079,1.9472,Test
pp000055-PdCl2,-0.8442678446842975,-0.5574102692688988,1.853552899531891,104.162057225358,1.95145,Test
